City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
26,aykhal,66.0,111.5,-4.04,94,100,9.74,RU,1681606909
27,komsomolskiy,40.4272,71.7189,16.4,55,75,2.06,UZ,1681606910
28,busselton,-33.65,115.3333,18.09,73,100,4.05,AU,1681606910
29,hobart,-42.8794,147.3294,12.92,89,75,5.14,AU,1681606859
30,port hedland,-20.3167,118.5667,22.03,35,3,9.26,AU,1681606911
31,fort nelson,58.8053,-122.7002,13.3,27,75,4.12,CA,1681606614
32,barrow,71.2906,-156.7887,-18.99,71,0,3.6,US,1681606911
33,esperance,-33.8667,121.9,18.15,70,29,7.86,AU,1681606912
34,hillsboro,45.5229,-122.9898,15.01,61,100,2.06,US,1681606616
35,acarau,-2.8856,-40.12,25.62,87,99,5.25,BR,1681606913
36,khatanga,71.9667,102.5,-11.66,96,99,0.92,RU,1681606913
37,mar del plata,-38.0023,-57.5575,13.86,71,0,2.06,AR,1681606821
38,itaituba,-4.2761,-55.9836,23.24,99,81,0.7,BR,1681606914
39,powell river,49.8496,-124.5361,10.1,76,100,4.63,CA,1681606719
40,diego de almagro,-26.3667,-70.05,15.99,56,0,1.0,CL,1681606915
41,provideniya,64.3833,-173.3,-8.33,71,100,3.64,RU,1681606915
42,opuwo,-18.0607,13.84,20.48,49,17,2.39,NA,1681606915
43,severo-kurilsk,50.6789,156.125,-0.03,75,68,1.28,RU,1681606916
44,cape town,-33.9258,18.4232,17.43,68,0,6.71,ZA,1681606815
45,kristiansund,63.1115,7.732,6.36,87,100,2.06,NO,1681606917
46,punta arenas,-53.15,-70.9167,7.06,76,75,8.23,CL,1681606917
47,saint-ambroise,48.5501,-71.3324,9.78,43,100,4.12,CA,1681606917
48,tuktoyaktuk,69.4541,-133.0374,-12.0,79,100,3.09,CA,1681606918
49,bambous virieux,-20.3428,57.7575,24.56,94,40,1.54,MU,1681606918
50,albany,42.6001,-73.9662,21.07,75,95,2.03,US,1681606713
51,saskylakh,71.9167,114.0833,-14.44,89,15,1.7,RU,1681606919
52,ponta do sol,32.6667,-17.1,18.89,67,0,2.02,PT,1681606920
53,ushirombo,-3.4919,31.9639,17.19,97,100,1.09,TZ,1681606921
54,rikitea,-23.1203,-134.9692,26.16,65,0,2.68,PF,1681606921
55,deputatskiy,69.3,139.9,-12.97,90,100,2.3,RU,1681606922
56,lebu,-37.6167,-73.65,12.08,85,0,7.93,CL,1681606923
57,cabo san lucas,22.8909,-109.9124,24.78,62,0,1.34,MX,1681606803
58,arraial do cabo,-22.9661,-42.0278,24.15,86,17,6.59,BR,1681606921
59,bluff,-46.6,168.3333,15.34,67,100,1.95,NZ,1681606925
60,kaitangata,-46.2817,169.8464,16.63,65,24,1.89,NZ,1681606927
61,hermanus,-34.4187,19.2345,12.11,75,0,3.83,ZA,1681606929
62,shitkino,56.3703,98.3543,-6.6,70,16,1.41,RU,1681606929
63,vaini,-21.2,-175.2,29.09,74,40,4.63,TO,1681606931
64,bud,39.447,-86.1758,23.01,58,100,3.85,US,1681606932
65,fjerritslev,57.0813,9.2664,8.83,88,100,3.07,DK,1681606934
66,goderich,43.7501,-81.7165,20.18,40,7,0.0,CA,1681606834
67,redding,40.5865,-122.3917,21.62,37,0,3.09,US,1681606935
68,griffith,41.5284,-87.4237,25.03,52,40,3.09,US,1681606935
69,tres de maio,-27.7733,-54.24,21.34,78,98,3.08,BR,1681606936
70,noumea,-22.2763,166.4572,26.99,90,100,2.19,NC,1681606900
71,klaksvik,62.2266,-6.589,7.51,90,100,7.44,FO,1681606938
72,georgetown,5.4112,100.3354,29.97,92,20,1.54,MY,1681606915
73,sao filipe,14.8961,-24.4956,24.77,74,0,1.75,CV,1681606940
74,jacareacanga,-6.2222,-57.7528,23.7,97,79,0.17,BR,1681606941
75,dunmore east,52.1514,-6.9861,10.67,80,100,5.59,IE,1681606689
76,longyearbyen,78.2186,15.6401,-1.09,100,100,2.06,SJ,1681606942
77,codrington,-38.2667,141.9667,15.27,56,13,7.4,AU,1681606943
78,mount darwin,-16.7725,31.5838,17.08,82,61,3.63,ZW,1681606945
79,geraldton,-28.7667,114.6,18.23,63,0,5.14,AU,1681606946
80,dikson,73.5069,80.5464,-26.77,98,15,2.66,RU,1681606947
81,dunedin,-45.8742,170.5036,19.48,51,0,4.65,NZ,1681606939
82,casma,-41.0082,-73.1244,9.6,90,0,2.07,CL,1681606949
83,lagoa,39.05,-27.9833,16.56,89,1,10.53,PT,1681606949
84,faanui,-16.4833,-151.75,27.74,73,12,5.39,PF,1681606950
85,new norfolk,-42.7826,147.0587,12.73,77,100,0.89,AU,1681606951
86,jamestown,42.097,-79.2353,19.8,42,40,0.0,US,1681606951
87,caibarien,22.5206,-79.4669,25.96,80,0,6.07,CU,1681606952
88,xinqing,48.2333,129.5,5.83,35,100,3.78,CN,1681606953
89,mamlyutka,54.9375,68.5394,-7.99,46,0,2.66,KZ,1681606955
90,coalinga,36.1397,-120.3602,25.14,34,0,1.77,US,1681606956
91,sterling,39.0062,-77.4286,20.85,77,100,1.34,US,1681606902
92,lensk,60.7253,114.9278,-6.53,80,100,5.1,RU,1681606957
